"species","common_name","sci_name","phylo_name","Bmass","logBm","social_monogamy","nbrood","avgbrood","avgsire","pmult","pred_pmult","resid_pmult","mean.q","mean.nmates","taxa"
"Prairie vole, Microtus ochrogaster","Prairie vole","Microtus ochrogaster","Microtus_ochrogaster",42.5,1.628,"mono",9,4.8,1.6,0.556,0.67759615,0.12159615,0.387888797,5.961081111,"mammal"
"Pronghorn, Antilocapra americana","Pronghorn","Antilocapra americana","Antilocapra_americana",47450.01,4.676,"xmono",25,2,1.4,0.44,0.424142339,-0.015857661,0.615987473,3.6006624,"mammal"
"Red fox, Vulpes vulpes","Red fox","Vulpes vulpes","Vulpes_vulpes",4820.36,3.683,"mono",12,3.8,1.8,0.5,0.639265794,0.139265794,0.524872117,5.1629225,"mammal"
"Red squirrel, Tamiasciurus hudsonicus","Red squirrel","Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",200.24,2.302,"xmono",44,3,2,0.727,0.595509576,-0.131490424,0.578221036,4.480785682,"mammal"
"Richardson's ground squirrel, Urocitellus richardsonii","Richardson's ground squirrel","Urocitellus richardsonii","Urocitellus_richardsonii",360,2.556,"xmono",15,5.7,2.1,0.8,0.719723987,-0.080276013,0.399017125,6.998442,"mammal"
"Roe deer, Capreolus capreolus","Roe deer","Capreolus capreolus","Capreolus_capreolus",22502.01,4.352,"xmono",33,2.1,1.2,0.155,0.447446101,0.292446101,0.569918218,3.619425152,"mammal"
"Round-tailed ground squirrel, Xerospermophilus tereticaudus","Round-tailed ground squirrel","Xerospermophilus tereticaudus","Xerospermophilus_tereticaudus",163.3,2.213,"xmono",31,4.1,2.5,0.548,0.647552296,0.099552296,0.501320535,5.844629677,"mammal"
"Silvery mole rat, Heliophobius argenteocinereus","Silvery mole rat","Heliophobius argenteocinereus","Heliophobius_argenteocinereus",159.46,2.203,"xmono",11,3.5,1.1,0.091,0.627298889,0.536298889,0.408249342,4.60967,"mammal"
"Snowshoe hare, Lepus americanus","Snowshoe hare","Lepus americanus","Lepus_americanus",1568.42,3.195,"xmono",16,4,1.3,0.25,0.64563761,0.39563761,0.40329616,5.218441875,"mammal"
"Spotted hyena, Crocuta crocuta","Spotted hyena","Crocuta crocuta","Crocuta_crocuta",63369.98,4.802,"xmono",102,2,1.3,0.333,0.424142339,0.091142339,0.586599872,3.523056373,"mammal"
